City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Namatanai,PG,78.66,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
6,Angoche,MZ,77.67,broken clouds,-16.2325,39.9086,Guest House HESADA
9,Acapulco,MX,81.81,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
10,Port Blair,IN,81.07,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
12,Rikitea,PF,76.26,light rain,-23.1203,-134.9692,People ThankYou
15,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Balabac,PH,81.27,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
20,Tshikapa,CD,77.52,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
25,Bambous Virieux,MU,78.19,few clouds,-20.3428,57.7575,Casa Tia Villa
27,Howard Springs,AU,76.91,broken clouds,-12.497,131.047,buffalo beach hostel
28,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Mbuyapey,PY,87.69,clear sky,-26.2,-56.75,Cabaña AM
34,Vao,NC,75.38,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
43,Bage,BR,76.78,overcast clouds,-31.3314,-54.1069,Hotel Obino - Bagé
44,Sorong,ID,80.67,light rain,-0.8833,131.25,Waigo Splash Hotel
60,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
65,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
66,Sechura,PE,75.52,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
71,Atuona,PF,77.63,few clouds,-9.8,-139.0333,Villa Enata
73,Weligama,LK,76.82,overcast clouds,5.9667,80.4167,Weligama Bay Resort
77,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
81,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
89,Lakatoro,VU,79.61,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
90,Charters Towers,AU,75.83,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
94,Saint-Pierre,RE,78.44,light rain,-21.3393,55.4781,Lindsey Hôtel
95,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
98,Katsina,NG,89.71,few clouds,12.9894,7.6006,Katsina Motel
99,Arraial Do Cabo,BR,87.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
101,Castro,BR,78.19,clear sky,-24.7911,-50.0119,CHACARA BAILLY
106,Mogadishu,SO,80.56,light rain,2.0371,45.3438,Hotel Juba
109,Kavaratti,IN,82.63,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
110,Carutapera,BR,87.46,few clouds,-1.195,-46.02,Lidera
112,Alyangula,AU,81.79,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
115,Gigmoto,PH,79.7,overcast clouds,13.7796,124.39,Cj's Travellers Inn
116,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
119,Miguel Pereira,BR,84.13,light rain,-22.4539,-43.4689,Quarto dos Sonhos
120,Alofi,NU,79.97,overcast clouds,-19.0595,-169.9187,Taloa Heights
122,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
123,Sao Filipe,CV,79.45,scattered clouds,14.8961,-24.4956,Hotel Xaguate
124,Gizo,SB,81.95,light rain,-8.103,156.8419,Imagination Island
126,Awbari,LY,78.04,overcast clouds,26.5921,12.7805,فندق أوباري
131,Waingapu,ID,81.03,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
135,Bengkulu,ID,76.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,Mecca,SA,81.39,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
159,Idenao,CM,81.09,light rain,4.2475,9.0047,Moland Beach Resort
169,Sehithwa,BW,89.98,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
177,Mahebourg,MU,78.42,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
179,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
184,Samana,DO,82.62,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
188,Abaete,BR,78.66,broken clouds,-19.16,-45.4458,Hotel Millenium
192,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
193,Bandarbeyla,SO,79.77,broken clouds,9.4942,50.8122,JABIR HOTEL
195,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
198,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
209,Cockburn Town,TC,76.64,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
211,Kirakira,SB,78.96,overcast clouds,-10.4544,161.9205,SanBiz Lodge
212,La Ceiba,HN,81.95,overcast clouds,15.7597,-86.7822,Hotel Art Deco Beach
213,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,Scoop Guest House
217,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
227,Port-Gentil,GA,80.83,light rain,-0.7193,8.7815,Fengshui Residence
228,Diffa,NE,88.23,clear sky,13.3154,12.6113,ProDAF/Diffa
236,Eydhafushi,MV,81.23,overcast clouds,5.1033,73.0708,Soneva Fushi
240,Balikpapan,ID,76.32,light rain,-1.2675,116.8289,ibis Balikpapan
243,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
244,Loiza,PR,84.2,scattered clouds,18.4313,-65.8802,Malibu Beachfront
255,Yanam,IN,78.6,overcast clouds,16.7333,82.2167,The Regency Hotel
262,Takoradi,GH,83.77,broken clouds,4.8845,-1.7554,Raybow International Hotel
263,Faanui,PF,81.01,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
267,Buala,SB,79.47,light rain,-8.145,159.5921,Maringe Lagoon Lodge
283,Tigre,AR,78.94,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
286,Guatire,VE,75.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
287,Mackay,AU,78.33,broken clouds,-21.15,149.2,International Lodge Motel
291,San Juan,AR,84.61,clear sky,-31.5375,-68.5364,Hotel Provincial
295,Coahuayana,MX,81.88,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
299,Sibolga,ID,76.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
308,Sal Rei,CV,80.8,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
310,Aswan,EG,80.83,clear sky,24.0934,32.907,Nuba Nile
316,Mayumba,GA,76.78,overcast clouds,-3.432,10.6554,LIKWALE LODGE
322,San Juan De Uraba,CO,84.34,scattered clouds,8.7592,-76.5297,Hotel Cerro De Zumba
323,Miandrivazo,MG,82.18,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
325,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
330,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
332,Adiake,CI,85.59,broken clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
343,Atambua,ID,76.14,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
344,Isla Mujeres,MX,78.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
346,Cotonou,BJ,84.56,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
348,Sambava,MG,78.39,broken clouds,-14.2667,50.1667,Melrose
351,Buchanan,LR,89.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
352,Berbera,SO,82.17,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
357,Tecoanapa,MX,81.88,few clouds,16.5167,-98.75,Hotel Manglares
361,Samarai,PG,81.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
363,Saint-Joseph,RE,77.36,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
364,Sao Jose Da Coroa Grande,BR,84.9,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
365,Caravelas,BR,86.59,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
367,Rocha,UY,79.52,few clouds,-34.4833,-54.3333,Hotel Arrarte
