City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Louis,SN,16.3333,-15.0,98.24,15,7,10.69,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,53.71,40,75,19.57,broken clouds
2,Saint Anthony,US,45.0205,-93.218,33.69,51,1,8.05,clear sky
3,Kungurtug,RU,50.5994,97.5228,-4.74,98,50,1.81,scattered clouds
4,Mataura,NZ,-46.1927,168.8643,37.47,99,86,1.77,overcast clouds
5,Namatanai,PG,-3.6667,152.4333,78.66,83,52,3.74,moderate rain
6,Angoche,MZ,-16.2325,39.9086,77.67,61,76,14.27,broken clouds
7,Klaksvik,FO,62.2266,-6.589,31.12,58,100,14.41,overcast clouds
8,Zaidpur,IN,26.8333,81.3333,62.67,40,0,2.68,clear sky
9,Acapulco,MX,16.8634,-99.8901,81.81,68,64,1.77,broken clouds
10,Port Blair,IN,11.6667,92.75,81.07,80,12,10.16,few clouds
11,Te Anau,NZ,-45.4167,167.7167,38.59,95,88,1.68,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,76.26,75,2,16.55,light rain
13,Busselton,AU,-33.65,115.3333,65.43,65,0,6.67,clear sky
14,Hit,IQ,33.6416,42.8251,67.21,37,66,8.21,broken clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,75.16,75,90,10.69,overcast clouds
16,Srednekolymsk,RU,67.45,153.6833,-37.95,100,22,0.16,few clouds
17,Krasnyy Chikoy,RU,50.3643,108.7512,10.65,94,100,2.86,overcast clouds
18,Cape Town,ZA,-33.9258,18.4232,68.41,77,75,24.16,light intensity shower rain
19,Balabac,PH,7.9868,117.0645,81.27,78,100,4.72,overcast clouds
20,Tshikapa,CD,-6.4167,20.8,77.52,81,71,0.45,broken clouds
21,Hobart,AU,-42.8794,147.3294,46.26,87,0,3.44,clear sky
22,Tessalit,ML,20.1986,1.0114,91.67,14,72,9.35,broken clouds
23,Blanes,ES,41.6742,2.7904,53.28,87,97,4.63,overcast clouds
24,Kaitangata,NZ,-46.2817,169.8464,42.96,93,80,5.17,broken clouds
25,Bambous Virieux,MU,-20.3428,57.7575,78.19,70,20,8.34,few clouds
